collected_at,theme_id,theme_name,rank,capture_idx,capture_item_idx,capture_dt,score,percentage_weight,avg_diff_pct,new_flag,hot_flag,summary_rank,description,max_stock_diff_pct,min_stock_diff_pct,sum_trade_value,top5_trade_value,type_stock_name,business_name,theme_url
2026-07-08T00:30:40+09:00,153735,D램,1,10,20260707153955,2026-07-07 15:39:55.339011,149.1,259.5,-6.02,0,0,1,"저장된 정보가 시간이 흐름에 따라 소멸되는 반도체. 임의 접근 기억 장치의 한 종류로, 정보를 구성하는 개개의 비트를 각기 분리된 축전기에 저장하는 기억장치",1.01,-6.92,0,0,,,https://finance.finup.co.kr/theme/153735
2026-07-08T00:30:40+09:00,162078,DDR5,2,10,20260707153955,2026-07-07 15:39:55.339011,113.5,190.82,-6.96,0,0,2,컴퓨터에 쓰이는 메모리 집적 회로 계열. 기존 PC 시장의 주력인 DDR4와 비교해 소비전력은 줄었지만 전송 속도는 최대 약 2배 빨라서 더 많은 데이터를 주고 받음이 가능,1.6,-8.52,0,0,,,https://finance.finup.co.kr/theme/162078
2026-07-08T00:30:40+09:00,153117,3D 낸드,3,10,20260707153955,2026-07-07 15:39:55.339011,113,183.4,-9.17,0,0,3,"메모리 반도체의 한 종류로, 2D(평면) 낸드의 회로를 수직으로 세운 제품 2D(평면) 낸드보다 속도가 빠르고 용량을 크게 늘릴 수 있으며, 안정성과 내구성도 뛰어나고 전기 소모량이 적음",1.01,-10.85,0,0,,,https://finance.finup.co.kr/theme/153117
2026-07-08T00:30:40+09:00,3363,방산,4,10,20260707153955,2026-07-07 15:39:55.339011,60.99999999999999,95.58,-16.2,0,0,4,방위산업체의 준말로 국가가 필요로 하는 국가 방위 관련 장비 및 시설 등 일체 관련한 기업들을 지칭. 대북도발에 주로 반응되는 테마,10.45,-22.65,0,0,,,https://finance.finup.co.kr/theme/3363
2026-07-08T00:30:40+09:00,150313,비메모리 반도체,5,10,20260707153955,2026-07-07 15:39:55.339011,58.699999999999996,88.66,-8.31,0,0,5,정보처리를 목적으로 제작된 반도체. 시스템 반도체라 불림,17.95,-10.85,0,0,,,https://finance.finup.co.kr/theme/150313
2026-07-08T00:30:40+09:00,155428,거푸집(데크플레이트),6,10,20260707153955,2026-07-07 15:39:55.339011,58.199999999999996,84.5,12.53,0,0,6,구조물의 바닥재나 거푸집 대용으로 사용되는 철강. 판넬 거푸집용은 콘크리트 경화전 액성상태의 콘크리트 무게 및 시공시 하중을 견디는 역할함,29.95,-1.87,0,0,,,https://finance.finup.co.kr/theme/155428
2026-07-08T00:30:40+09:00,154420,영상 콘텐츠,7,10,20260707153955,2026-07-07 15:39:55.339011,57.70000000000001,80.4,-15.15,0,0,7,"영상콘텐츠 관련 기업들이 넷플릭스, 디즈니 플러스 등의 OTT 업체와의 연관성이 부각이 되면서 OOT수혜주로도 부각",8.52,-29.06,0,0,,,https://finance.finup.co.kr/theme/154420
2026-07-08T00:30:40+09:00,161672,조선/LNG선,8,10,20260707153955,2026-07-07 15:39:55.339011,55.5,74.06,-14.31,0,0,8,"조선업은 해운업, 수산업, 군수산업, 관광산업 등에 사용되는 각종 선박 건조 및 에너지와 자원의 개발, 가공, 저장 등에 사용되는 장비와 설비 등을 개발 및 생산하는 산업이며, 그 중 LNG선은 LNG(액화천연가스)를 수송하는 선박으로 큰 저온 단열탱크를 선체 내에 몇 개 갖추고 있어 내부에는 극저온의 LNG가 충전된다.",1.4,-26.03,0,0,,,https://finance.finup.co.kr/theme/161672
2026-07-08T00:30:40+09:00,155287,반도체 장비,9,10,20260707153955,2026-07-07 15:39:55.339011,54.7,69.74,-14.46,0,0,9,반도체 생산에 필요한 각종 장비와 설비를 생산 및 유통하는 업체,5.84,-26,0,0,,,https://finance.finup.co.kr/theme/155287
2026-07-08T00:30:40+09:00,150841,엔터테인먼트,10,10,20260707153955,2026-07-07 15:39:55.339011,53.9,65.73,-13.82,1,0,10,"음원, 영화 및 드라마제작에 관련된 기업군과 매니지먼트관련회사를 칭함. 아시아 대중문화시장에서의 한류열풍, 케이블TV보급확대, 디지털 음원, DMB, IPTV, 스마트폰, 태블릿PC 등 다양한 플랫폼을 통한 콘텐츠 전송 활성화로 콘텐츠에 대한 투자자들의 관심이 높아지면서 부각된 섹터",29.98,-23.75,0,0,,,https://finance.finup.co.kr/theme/150841
2026-07-08T00:30:40+09:00,155439,스마트폰 SLP(차세대 메인보드),11,10,20260707153955,2026-07-07 15:39:55.339011,53,61.4,-7.17,0,0,11,기판 위에 설치된 여러개의 반도체칩들을 묶어 집적도를 높인 모듈 형태 차세대 스마트폰용 메인보드. 고밀도 다층기판이 발전된 형태 삼성전자와 애플이 차세대 모바일에 SLP를 활용한 차세대 메인보드를 탑재할 것이라는 소식에 부각,-3.26,-9.85,0,0,,,https://finance.finup.co.kr/theme/155439
2026-07-08T00:30:40+09:00,3344,시멘트/레미콘,12,10,20260707153955,2026-07-07 15:39:55.339011,52,57.38,13.57,0,0,12,시멘트: 토목과 건축 등에 사용되는 무기질 결합경화제. 레미콘: 시멘트에 자갈 등을 물과 배합해 공사 현장으로 운반하여 타설하는 굳지않은 상태의 콘크리트. 주로 건설경기에 반응하며 원자재 상승으로 인한 가격 상승시 반응하는 테마군,29.93,-9.87,0,0,,,https://finance.finup.co.kr/theme/3344
